url,title,text,topic,tags,date
https://lenta.ru/news/2010/12/16/passports/,Московская милиция ужесточила паспортный режим,"В Москве после серии массовых беспорядков на национальной почве ужесточен паспортный режим. Решение об этом принято руководством столичной милиции, сообщает РИА Новости. По словам источника в правоохранительных органах столицы, проверка документов проводится в местах массового скопления людей, в том числе на вокзалах, в метро и на улицах. При этом особое внимание при проверках уделяется иногородним. Источник отметил, что сотрудники угрозыска проводят оперативные мероприятия среди представителей неформальных молодежных течений радикальной направленности. Ранее высокопоставленный источник в одной из российских спецслужб рассказал агентству, что правоохранительные органы отслеживают переписку по электронной почте, а также социальные сети, чтобы определить IP-адреса, с которых распространяются экстремистские призывы. 11 декабря на Манежной площади в Москве собрались более пяти тысяч молодых людей на несанкционированную акцию против этнической преступности. Поводом для нее послужило убийство спартаковского болельщика Егора Свиридова. Акция переросла в массовые беспорядки, в ходе которых скандировались националистические лозунги. 15 декабря в разных местах центра Москвы произошла серия столкновений между членами правых движений, выходцами с Кавказа и милицией. Были задержаны более 1700 человек, возбуждены около 20 уголовных дел по факту нанесения побоев, сопротивления сотрудникам милиции и разжигании ненависти.",Россия,Все,2010/12/16
https://lenta.ru/news/2014/05/19/student/,Московского студента ограбили на 6 миллионов рублей,"Неизвестные вынесли из квартиры московского студента наручные часы и собольи шубы, всего на шесть миллионов рублей. Об этом сообщает «Интерфакс» со ссылкой на пресс-службу ГУ МВД России по Москве. «В воскресенье в полицию обратился 28-летний студент одного из вузов Москвы с заявлением о квартирной краже», — рассказал сотрудник пресс-службы. По данным полиции, неизвестные проникли в квартиру на Авиационной улице, вскрыв замки входной двери. По факту кражи возбуждено уголовное дело. Все украденное имущество принадлежало отцу 28-летнего учащегося московского вуза — 52-летнему предпринимателю.",Россия,,2014/05/19
https://lenta.ru/news/2008/09/27/catch/,В Ставропольском крае обезврежены боевики,"В Ставропольском крае задержаны боевики, которые участвовали в нападении на Нальчик в 2005 году, сообщается на сайте программы ""Вести - Северный Кавказ"". По словам представителя краевого ГУВД, у них изъято оружие, средства маскировки, различные документы экстремистского характера, а также инструкции по организации диверсий и ведению боевых действий в горных и лесистых условиях. Кроме того, у задержанных нашли схемы возможных мест совершения терактов. Оперативники уже заблокировали эти места и проверяют их. Напомним, что нападение боевиков на Нальчик произошло 13 октября 2005 года. По разным данным, до 200 человек одновременно атаковали несколько административных зданий города. Бои шли несколько суток, в ходе нападения были убиты 95 нападавших, 12 мирных граждан и 35 сотрудников правоохранительных органов. В ходе расследования к уголовной ответственности были привлечено 59 человек, еще 14 находятся в розыске. Кроме обвиняемых, по делу, рассмотрение которого только начинается, проходят свыше 400 потерпевших и более 2000 свидетелей.",Россия,Все,2008/09/27
https://lenta.ru/news/2009/07/23/refuse/,Лужков отказался трудоустраивать китайцев с Черкизовского рынка,"Мэр Москвы Юрий Лужков заявил, что не намерен трудоустраивать торговцев из Китая, которые работали на Черкизовском рынке до его закрытия. Слова мэра передает РИА Новости. Вместе с тем Лужков отметил, что власти Москвы решают вопрос о размещении российских продавцов. Он еще раз подчеркнул, что Черкизовский рынок больше работать не будет. Как отмечает РИА Новости, позже 23 июля власти Восточного административного округа, на территории которого находился рынок, встретятся с делегацией из Китая. На этой встрече планируется обсудить ситуацию с потерявшими работу китайскими торговцами. В состав делегации, по данным ""Интерфакса"", вошли представители министерства торговли, министерства иностранных дел и главного таможенного управления КНР. Черкизовский рынок, который был крупнейшей торговой площадкой в Москве, был закрыт 29 июня. Официальной причиной закрытия стали нарушения санитарных и пожарных норм. После закрытия рынка работу потеряли тысячи торговцев из Китая и Вьетнама, а также многочисленные оптовики из России, закупавшие товар в Черкизове. Власти Москвы планируют распределить продавцов с Черкизовского рынка по другим столичным оптовым ярмаркам - в частности, упоминаются торговый комплекс ""Москва"" в Люблино и Лужники. Между тем продавцы, уже торгующие на этих рынках, опасаются того, что гастарбайтеры получат работу за их счет.",Россия,Все,2009/07/23
https://lenta.ru/news/2012/09/29/factory/,По факту пожара на заводе в Югре заведено дело,"Следственный комитет России возбудил уголовное дело по факту пожара на предприятии по переработке шлама в Ханты-Мансийском автономном округе, сообщается на сайте СКР. Дело заведено по статье 217 УК РФ (""нарушение правил безопасности на взрывоопасных объектах""). В результате пожара на заводе компании ""Инвест-Ойл"" на Приобском месторождении неподалеку от Ханты-Мансийска погибли 8 человек. Ранее сообщалось, что пострадали 8 человек,  однако впоследствии, как сообщает РИА Новости, в правоохранительных органах региона заявили о том, что в больницах находятся 9 пострадавших. По предварительным данным Следственного комитета, причиной пожара был взрыв в производственном цехе переработки шлама. В связи с инцидентом Минприроды РФ проведет проверку обстоятельств выдачи заводу положительного заключения экологической экспертизы. Замглавы Минприроды Ринат Гизатулин отметил, что на заводе и ранее происходили аварии, однако он стал единственным предприятием региона, которому удалось получить положительное заключение экспертизы. Пожар на предприятии по переработке шлама в Югре начался утром в субботу, 29 сентября. Площадь возгорания, по некоторым данным, достигала 4 тысяч квадратных метров, однако вскоре пожарные локализовали его на площади 2,3 тысячи квадратных метров.  К 13:00 по московскому времени его удалось ликвидировать.",Россия,Все,2012/09/29
https://lenta.ru/news/2002/07/01/kursk1/,"Клебанов: ""Курск"" погиб из-за утечки перекиси водорода","Взрыв торпедного топлива на атомной подводной лодке ""Курск"" произошел в результате утечки перекиси водорода и возгорания материалов в торпедном аппарате. Об этом в интервью ""Интерфаксу"" сообщил министр науки, промышленности, и технологий Илья Клебанов. Ранее уже сообщалось, что официальной причиной гибели атомохода ""Курск"" правительственная комиссия назвала ""тепловой взрыв компонентов топлива торпеды 65-76"". По словам одного из членов комиссии депутата Госдумы вице-адмирала Валерия Дорогина, ""после теплового взрыва последовал пожар и повышение давления в первом отсеке, из-за чего произошла детонация всего боезапаса и гибель лодки"".",Россия,Все,2002/07/01
https://lenta.ru/news/2017/05/31/dochka_liza/,Песков отказался обсуждать комментарий дочери о работе Собянина,"Пресс-секретарь президента России Дмитрий Песков не стал обсуждать с журналистами пост своей дочери Елизаветы, в котором она поддержала реновацию в Москве, но раскритиковала создание пешеходных зон, сообщает корреспондент «Ленты.ру». «Елизавету не хотел бы обсуждать, она взрослая женщина и может сама участвовать в дискуссиях. Я не хочу это ни с кем обсуждать. В Москве она была пару дней назад», — сказал представитель Кремля. Песков добавил, что мэр Москвы Сергей Собянин программу реновации презентовал президенту, который проект одобрил, но при условии соблюдения прав москвичей. Накануне 18-летняя дочь Пескова Елизавета, живущая во Франции, написала в Instagram, что мэр столицы Сергей Собянин много сделал для города и она «совершенно не согласна с критикой этого человека по реновации Москвы». Елизавета считает, что «город должен обновляться, и здесь можно только восхищаться решимостью градоначальника начать такую амбициозную программу». При этом решение московских властей расширить тротуары за счет сужения проезжей части она назвала странным.",Россия,Политика,2017/05/31
https://lenta.ru/news/2013/04/08/femen/,Активистки Femen разделись перед Путиным,"Активистки движения Femen устроили акцию на Ганноверской выставке. Как сообщает «Интерфакс», девушки разделись в присутствии президента РФ Владимира Путина и канцлера Германии Ангелы Меркель, когда те осматривали стенд Volkswagen. Активистки выкрикивали нецензурные лозунги на английском языке. На спине одной девушки было написано «Иди на х*й, Путин», а на груди, как отмечает n-tv, — «Fuck dictator». Участниц акции задержала охрана. Издание Bild.de опубликовало фотогалерею задержания девушек. Политики не обратили внимания на активисток и проследовали в следующий зал, сообщают агентства, однако на опубликованных фотографиях видно, что и Меркель, и Путин заметили акцию. Более того, президент РФ поднял оба больших пальца на руках вверх, что обычно означает знак одобрения. Пресс-секретарь Путина Дмитрий Песков назвал акцию Femen «обычным хулиганством». Сам Путин при этом сказал, что акция ему понравилась. «Что они там кричали, честно говоря, я не очень расслышал, потому что секьюрити работают очень жестко. Такие здоровые лбы навалились на девчонок. Это, мне кажется, неправильно, можно было бы помягче с ними обращаться», — заявил президент России, отметив, что знал о готовящейся акции Femen. Перед открытием Ганноверской выставки, 7 апреля, у центрального входа состоялся митинг против Путина. Дмитрий Песков заявил, что президент РФ не заметил акции протеста. Владимир Путин находится с визитом в Германии. На Западе Путина критикуют за притеснение НКО в России, а также из-за позиции по Сирии, которая заключается в невмешательстве. После Германии Путин отправится в Нидерланды, где местные ЛГБТ-активисты уже готовятся к акциям протеста в связи с принятием в России закона о запрете пропаганды гомосексуализма. Активистки Femen ранее устраивали акции протеста против Путина. В декабре 2012 года они встречали его в аэропорту Брюсселя. На телах девушек были надписи «Апокалипсис демократии», «Путин, иди в...» и другими. Кроме того, в марте 2012 года активистки Femen устраивали акцию на избирательном участке, где голосовал Путин.",Россия,Политика,2013/04/08
https://lenta.ru/news/2010/03/10/backfire/,"Командира спецполка ДПС уволили за ""живой щит"" на МКАДе","Глава ГУВД Москвы Владимир Колокольцев освободил от должности командира 1-го спецполка ДПС, подполковника милиции Александра Козлова, говорится в официальном заявлении ГУВД, поступившем в Ленту.Ру. Это связано со скандалом вокруг ""живого щита"" на МКАДе: 5 марта сотрудники ГИБДД использовали частные автомобили с водителями и пассажирами внутри для создания заграждения при погоне за преступником. Ранее было известно, что по итогам внутренней проверки в дорожной милиции Козлову вынесли предупреждение о неполном служебном соответствии. Кроме того, строгий выговор Колокольцев объявил начальнику управления столичной ГИБДД генерал-майору милиции Сергею Казанцеву. Начальник ГУВД Москвы принес свои извинения автовладельцам, чьи машины были повреждены в результате происшествия на МКАДе. Ранее в столичной дорожной милиции утверждали, что ее сотрудники пытались не создать заграждение из автомобилей, а только затормозить транспортный поток. В официальном заявлении ГУВД Москвы говорится, что ""личный автотранспорт участников дорожного движения"" был использован ""для блокировки движения на проезжей части, в результате чего были повреждены три личные автомашины граждан"". В заявлении говорится, что ранее сотрудники ГИБДД для подобных целей использовали служебные машины, однако в этот раз у них такой возможности не было. Они ""попытались перекрыть движение гражданским автотранспортом, при этом недооценив последствия ситуации"" и ""фактически подвергнув участников движения реальной опасности"". Колокольцев поручил Управлению собственной безопасности и Инспекции штаба ГИБДД провести тщательную проверку и выявить все условия и причины произошедшего. ""Живой щит"" был создан в рамках операции ""Барсетка"": сотрудники ДПС преследовали преступников, которые украли женскую сумку и уходили от погони по внешней стороне МКАДа на участке между Щелковским и Ярославским шоссе. Заграждение из гражданских машин задержать преступников не помогло. Вокруг происшествия разразился скандал после того, как владелец одного из поврежденных автомобилей рассказал о ""живом щите"" в видеоролике на YouTube.",Россия,Все,2010/03/10
https://lenta.ru/news/2003/08/29/gusinsky1/,Владимир Гусинский отпущен под залог в 100 тысяч евро,"Российский предприниматель Владимир Гусинский освобожден под залог в 100 тысяч евро. Такое решение принял в пятницу апелляционный суд Афин. Как заявил РИА ""Новости"" по телефону адвокат Гусинского Александр Березин, его подзащитному запрещено покидать греческую столицу до решения суда о его возможной экстрадиции в Россию. По данным газеты ""Коммерсант"", накануне прокурор апелляционного суда сам выступил с предложением выпустить бизнесмена из тюремной больницы, в которой он содержался с понедельника. РИА ""Новости"" сообщает, что Гусинский будет находиться в афинской гостинице ""Интерконтиненталь"". В пятницу к бизнесмену должна приехать из Израиля его жена Елена. Тем временем, к защите Гусинского подключился греческий адвокат ""номер один"" Александрос Ликурезос. ""После этого в Афинах всем стало ясно, что освобождение бизнесмена – вопрос времени, а российской Генпрокуратуре в очередной раз не удастся доказать, что господина Гусинского преследуют по уголовным, а не по политическим мотивам"", - пишет ""Коммерсант"". Гусинский отказался от услуг адвоката Адониса Вгонцаса, предоставленного греческим правительством. По данным газеты, он не имеет опыта ведения громких дел и для подобного случая годится лишь в качестве помощника-консультанта, знающего греческий язык и местные законы. Напомним, что Гусинский был задержан 21 августа в афинском аэропорту в рамках российско-греческого договора о сотрудничестве в сфере борьбы с преступностью. Генпрокуратура России обвиняет предпринимателя в незаконном присвоении 250 миллионов долларов и отмывании денег. 25 августа афинский суд не выпустил Гусинского под залог и отправил его в тюрьму ""Коридаллос"". Там он был помещен в тюремную больницу. Решение по вопросу об экстрадиции бизнесмена должно быть вынесено в течение 45 дней. Российский ордер на экстрадицию Гусинского в Афины до сих пор не поступил.",Россия,Все,2003/08/29
